code,neighborhood,sampl
002591,BRAZUELOS OCCIDENTAL,10
002576,SERRANIAS I,7
005611,AUTOPISTA MEDELLIN,0
202601,CENTRO USME,9
001411,SAN JORGE SUR,1
001310,LA VICTORIA,7
001112,PRIMERO DE MAYO,8
006525,EL CHANCO I,3
008103,LA MERCED,2
006108,SAMPER MENDOZA,7
107102,CASABLANCA SUBA,8
008305,BELLAVISTA,9
005672,LAS NAVETAS,6
004514,CIUDAD KENNEDY NORTE,3
005641,SANTA MONICA,9
009254,LISBOA,7
008516,LAS ORQUIDEAS,0
005628,GARCES NAVAS ORIENTAL,7
008204,GRANADA,6
006507,NUEVO TECHO,8
006307,MONTEVIDEO,8
008203,LAS ACACIAS,7
202410,TOCAIMITA ORIENTAL,5
002537,CHUNIZA,9
201304,AGUAS CLARAS,5
002205,SANTA LUCIA,9
003202,LAS CRUCES,5
002601,ARRAYANES I,3
002203,QUIROGA CENTRAL,1
002306,BRAVO PAEZ,3
008543,SANTA CECILIA PUENTE NORTE,3
006418,PUENTE GRANDE,7
006411,CHARCO URBANO,0
009205,AURES,0
008402,COUNTRY CLUB,6
107112,LA LOMITA,9
002105,SANTANDER,8
002303,CENTENARIO,7
002310,MURILLO TORO,8
005667,CENTRO ENGATIVA II,5
009117,PRADO VERANIEGO SUR,0
006212,SALAZAR GOMEZ,1
004532,LA CECILIA,2
002618,PUERTA AL LLANO DE USME,7
001345,DONA LILIANA,9
006401,VERSALLES FONTIBON,3
002518,RONDA,6
008540,LA ESTRELLITA I,9
102603,CENTRO USME RURAL II,10
004401,SAN EUSEBIO,1
004549,NUEVA YORK,0
002629,EL NEVADO II,5
006523,SAN PEDRO DE LOS ROBLES,8
008422,PARAMO URBANO III,0
009249,VEREDA SUBA NARANJOS,3
002527,LA CABANA,1
006517,MARIA PAZ,3
001347,JUAN REY SUR,9
009110,MAZUREN,8
008538,BOSQUE DE PINOS III,1
102211,LILIANA,8
001425,GRANJAS DE SANTA SOFIA,7
001406,SAN ISIDRO,9
009139,CASABLANCA SUBA URBANO II,6
006510,VILLA ALSACIA II,3
006501,COOPERATIVA DE SUB-OFICIALES,2
004510,CIUDAD KENNEDY ORIENTAL,5
008307,CHICO NORTE,2
202204,LA ESPERANZA SUR I,3
002107,LA FRAGUA,1
004309,LA CAMELIA,4
002305,LIBERTADOR,5
004501,HIPOTECHO,1
003110,LA CATEDRAL,9
008520,BOSQUE DE PINOS,7
004565,TOCAREMA,5
008533,HORIZONTES NORTE,10
001309,SAN VICENTE,0
008545,MIRADOR DEL NORTE,8
003103,LAS AGUAS,8
002302,SANTANDER SUR,9
002104,RESTREPO OCCIDENTAL,6
005652,EL MUELLE,3
002626,BOLONIA I,0
002604,LOS OLIVARES,8
001327,LOS LIBERTADORES,4
002642,EL PORTAL URBANO,9
002535,PALERMO SUR,5
004107,SANTA ISABEL SUR,2
002103,RESTREPO,7
001415,MARCO FIDEL SUAREZ I,3
004553,ANDALUCIA II,3
108113,BOSQUE DE PINOS III RURAL,1
009124,PUENTE LARGO,9
009202,EL RINCON,6
002417,BARLOVENTO,4
008532,EL REDIL,2
002561,CORDILLERA DEL SUR,8
002448,PERDOMO ALTO,9
002501,SAN CARLOS,10
102407,TIBAQUE SUR,9
102312,CIUDAD LONDRES RURAL,1
002439,SIERRA MORENA,9
002420,LA CORUNA,5
002427,GALICIA,2
104119,CIUDAD BOLIVAR RURAL I,10
005679,SAN ANTONIO ENGATIVA,5
003215,SAN FRANCISCO RURAL,4
005307,LOS ANDES,3
001409,LAS LOMAS,10
004518,TIMIZA A,4
001407,SURAMERICA,7
002434,JERUSALEN,9
001428,CERROS DE ORIENTE,6
008401,LA CALLEJA,8
002615,LA ESPERANZA DE USME,7
005104,EL ROSARIO,6
007310,LA PAZ,6
005203,SAN FERNANDO,2
005112,PARQUE DISTRITAL SALITRE,9
006505,PIO XII,5
008406,SAN GABRIEL NORTE,3
002613,EL PROGRESO USME,3
202511,PUERTA AL LLANO RURAL,4
205319,SAN BERNARDINO XIX,10
102601,CENTRO USME RURAL,8
001302,MONTEBELLO,5
001316,MORALBA,9
002414,ISMAEL PERDOMO,9
001101,LAS BRISAS,8
008316,SAN LUIS ALTOS DEL CABO,6
009118,BATAN,4
002412,VERONA,0
005675,BOLIVIA,2
004529,CEMENTERIO JARDINES APOGEO,3
002519,DANUBIO,4
008301,CHICO NORTE II SECTOR,10
005604,EL REAL,10
006319,TERMINAL DE TRANSPORTES,1
002640,EL PEDREGAL II,2
008504,LA CITA,7
006313,SALITRE OCCIDENTAL,0
007312,RAFAEL URIBE,7
004306,LA TRINIDAD,1
002597,LA FISCALA NORTE,10
009248,TIBABUYES II,5
002547,EL TESORO,5
002431,POTOSI,10
009222,ALTOS DE CHOZICA,4
007201,CAMPIN,5
005650,CIUDADELA COLSUBSIDIO,0
002543,COMUNEROS,3
002432,ARBORIZADORA BAJA,10
004530,TIMIZA B,5
205225,LAS ACACIAS RURAL,2
005669,EL GACO,6
104118,CIUDAD BOLIVAR RURAL III,8
002621,SAN FELIPE DE USME,8
001312,LOS ALPES,3
005629,EL CEDRO,6
201302,EL TRIANGULO,6
002404,VENECIA,10
005310,ESCUELA MILITAR,5
001301,GRANADA SUR,6
002403,VENECIA OCCIDENTAL,1
002405,ESCUELA GENERAL SANTANDER,3
008408,SANTA ANA,8
004536,EL RUBI,2
002632,LA REQUILINA,6
207801,SANTA CECILIA,0
201306,TIBAQUE I,8
002617,EL REFUGIO I,4
002402,SAN VICENTE FERRER,10
003105,EGIPTO,8
008312,ESPARTILLAL,1
008311,EL NOGAL,5
001210,CALVO SUR,8
102406,EL BOSQUE CENTRAL,7
004523,JIMENEZ DE QUESADA,1
002401,TUNAL ORIENTAL,6
008405,GINEBRA,7
002614,LA ORQUIDEA DE USME,5
009109,NIZA SUR,3
002524,LA ANDREA,4
004616,OSORIO X URBANO,8
008505,SAN CRISTOBAL NORTE,4
008519,ESTRELLA DEL NORTE,2
102309,EL BOSQUE SUR ORIENTAL RURAL II,8
009257,TIBABUYES,7
002616,EL NUEVO PORTAL,0
101308,CHIGUAZA RURAL,10
005664,EL DORADO,4
005502,LA ESTRADA,10
009256,SANTA CECILIA,8
103103,SANTA ROSA BAJA,10
002443,LA PRIMAVERA I,3
001324,EL PINAR,7
004204,MONTES,7
002451,SAN ANTONIO DEL MIRADOR,4
004404,AUTOPISTA SUR,10
009230,SAN CAYETANO,5
004595,CHICO SUR,6
009236,LA CAROLINA DE SUBA,0
001362,ARBOLEDA SANTA TERESITA,2
009106,SAN JOSE DEL PRADO,9
005115,PARQUE POPULAR SALITRE,6
006110,USATAMA,8
007106,ESTRELLA,7
204131,MOCHUELO ALTO URBANO,4
002415,MADELENA,2
001209,MODELO SUR,6
001208,LA HORTUA,6
102401,LOS ARRAYANES,4
004581,TIMIZA C,0
002450,PERDOMO ALTO,1
004210,JORGE GAITAN CORTES,4
005504,LA ESTRADITA,8
004211,BOCHICA,8
002433,EL PENON DEL CORTIJO,3
004535,CLASS,5
003204,BELEN,3
008420,PARAMO URBANO I,2
106301,ENGATIVA EL DORADO,2
001336,JUAN JOSE RONDON I,2
009111,MONACO,10
009238,SANTA TERESA DE SUBA,2
002301,EDUARDO FREY,8
002574,CEDRITOS DEL SUR,4
002409,NUEVO MUZU,2
002455,LA VALVANERA,6
005617,PRIMAVERA,2
008404,BELLA SUIZA,3
006402,LA CABANA FONTIBON,0
001339,BOSQUE DE LOS ALPES,2
004563,GUADALUPE,0
004533,EL RETAZO,4
004504,PROVIVIENDA,0
009108,CIUDAD JARDIN NORTE,10
005662,EL CEDRO,8
009263,VILLA ALCAZAR,2
005640,BOLIVIA ORIENTAL,9
005402,SANTA ROSA,10
005101,JOSE JOAQUIN VARGAS,1
006209,QUINTA PAREDES,7
006206,EL EJIDO,0
005626,LOS ALAMOS,8
001325,JUAN REY (LA PAZ),5
108114,PARAMO III RURAL,0
005665,MARANDU,9
002595,LAGUNITAS URBANO,8
002413,MUZU,1
002605,BOLONIA,5
001354,GUACAMAYAS III,9
001338,LA BELLEZA,1
008110,EL PARAISO,3
009218,ALMIRANTE COLON,7
002446,LOS TRES REYES,1
002562,CENTRAL DE MEZCLAS,2
002428,PRIMAVERA II,5
002557,JUAN JOSE RONDON,9
004513,SAN DIEGO-BOSA,6
002453,CIUDAD BOLIVAR,9
002515,SAN FRANCISCO,8
008205,MARIA CRISTINA,10
001358,CHIGUAZA URBANO,7
009115,IBERIA,7
005616,LOS CEREZOS,5
005614,VILLA LUZ,8
008221,SIBERIA,6
005606,NORMANDIA OCCIDENTAL,9
005613,LA SERENA,3
005610,LA GRANJA,3
009112,NIZA SUBA,2
201503,SIBERIA  II,7
005621,FLORIDA BLANCA,3
